@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1273,'2018/02/18 22:45:27:863',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1274,'2018/02/18 22:45:27:913',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1275,'2018/02/18 22:45:27:963',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1276,'2018/02/18 22:45:28:014',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1277,'2018/02/18 22:45:28:063',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1278,'2018/02/18 22:45:28:113',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1279,'2018/02/18 22:45:28:164',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1280,'2018/02/18 22:45:28:213',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1281,'2018/02/18 22:45:28:263',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1282,'2018/02/18 22:45:28:314',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1283,'2018/02/18 22:45:28:363',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1284,'2018/02/18 22:45:28:413',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1285,'2018/02/18 22:45:28:466',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1286,'2018/02/18 22:45:28:514',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1287,'2018/02/18 22:45:28:563',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1288,'2018/02/18 22:45:28:614',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1289,'2018/02/18 22:45:28:663',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1290,'2018/02/18 22:45:28:713',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1291,'2018/02/18 22:45:28:765',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1292,'2018/02/18 22:45:28:814',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1293,'2018/02/18 22:45:28:863',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1294,'2018/02/18 22:45:28:914',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1295,'2018/02/18 22:45:28:964',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1296,'2018/02/18 22:45:29:014',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1297,'2018/02/18 22:45:29:064',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1298,'2018/02/18 22:45:29:114',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1299,'2018/02/18 22:45:29:163',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1300,'2018/02/18 22:45:29:213',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1301,'2018/02/18 22:45:29:264',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1302,'2018/02/18 22:45:29:314',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1303,'2018/02/18 22:45:29:364',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1304,'2018/02/18 22:45:29:414',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1305,'2018/02/18 22:45:29:464',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1306,'2018/02/18 22:45:29:514',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1307,'2018/02/18 22:45:29:564',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1308,'2018/02/18 22:45:29:614',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1309,'2018/02/18 22:45:29:664',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1310,'2018/02/18 22:45:29:714',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1311,'2018/02/18 22:45:29:765',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1312,'2018/02/18 22:45:29:814',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1313,'2018/02/18 22:45:29:865',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1391,'2018/02/18 22:46:25:231',29,215.765457,338.840027,54.613358,358.762054,353.509399,73.481583,419.023224,363.789581,75.282028,482.643982,366.468842,71.011887,550.408691,352.56427,60.517929,36.96,76.054468
1392,'2018/02/18 22:46:25:279',29,216.192627,338.793091,54.672691,359.307648,353.483276,73.53376,419.538269,363.74707,75.330627,483.278259,366.313599,71.056091,550.934387,352.363831,60.572289,36.96,76.054468
